variants	origine
R. Hue	Robert Hue
Robert Hue	Robert Hue
Hue	Robert Hue
Renaud	Renaud
R. Dumont	René Dumont
René Dumont	René Dumont
Dumont	René Dumont
R. Wargnier	Régis Wargnier
Régis Wargnier	Régis Wargnier
Wargnier	Régis Wargnier
R. Garros	Roland Garros
Roland Garros	Roland Garros
Garros	Roland Garros
R. Polanski	Roman Polanski
Roman Polanski	Roman Polanski
Polanski	Roman Polanski
R. Barjavel	René Barjavel
René Barjavel	René Barjavel
Barjavel	René Barjavel
Roland Wagner	Roland C. Wagner
R. Stallman	Richard Stallman
Richard Stallman	Richard Stallman
Stallman	Richard Stallman
R. Goscinny	René Goscinny
René Goscinny	René Goscinny
Goscinny	René Goscinny
S. Mallarmé	Stéphane Mallarmé
Stéphane Mallarmé	Stéphane Mallarmé
Mallarmé	Stéphane Mallarmé
S. Jobs	Steve Jobs
Steve Jobs	Steve Jobs
Jobs	Steve Jobs
S. Stone	Sharon Stone
Sharon Stone	Sharon Stone
Stone	Sharon Stone
S. Kubrick	Stanley Kubrick
Stanley Kubrick	Stanley Kubrick
Kubrick	Stanley Kubrick
S. Freud	Sigmund Freud
Sigmund Freud	Sigmund Freud
Freud	Sigmund Freud
S. Iwata	Satoru Iwata
Satoru Iwata	Satoru Iwata
Iwata	Satoru Iwata
S. Grand	Sejong le Grand
Sejong Grand	Sejong le Grand
Grand	Sejong le Grand
S. King	Stephen King
Stephen King	Stephen King
King	Stephen King
S. Lem	Stanislas Lem
Stanislas Lem	Stanislas Lem
Lem	Stanislas Lem
S. Beckett	Samuel Beckett
Samuel Beckett	Samuel Beckett
Beckett	Samuel Beckett
T. Kitano	Takeshi Kitano
Takeshi Kitano	Takeshi Kitano
Kitano	Takeshi Kitano
T. Burton	Tim Burton
Tim Burton	Tim Burton
Burton	Tim Burton
Tricky	Tricky
T. Hark	Tsui Hark
Tsui Hark	Tsui Hark
Hark	Tsui Hark
T. Ieyasu	Tokugawa Ieyasu
Tokugawa Ieyasu	Tokugawa Ieyasu
Ieyasu	Tokugawa Ieyasu
T. d'Aubigné	Théodore Agrippa d'Aubigné
Théodore d'Aubigné	Théodore Agrippa d'Aubigné
d'Aubigné	Théodore Agrippa d'Aubigné
