variants	origine
Pierre Chardin	Pierre Teilhard de Chardin
Chardin	Pierre Teilhard de Chardin
J. Casimir-Perier	Jean Casimir-Perier
Jean Casimir-Perier	Jean Casimir-Perier
Casimir-Perier	Jean Casimir-Perier
F. Faure	Félix Faure
Félix Faure	Félix Faure
Faure	Félix Faure
�. Loubet	Émile Loubet
Émile Loubet	Émile Loubet
Loubet	Émile Loubet
S. Faure	Sébastien Faure
Sébastien Faure	Sébastien Faure
Faure	Sébastien Faure
M. Joyeux	Maurice Joyeux
Maurice Joyeux	Maurice Joyeux
Joyeux	Maurice Joyeux
J. Latour	Jean-Baptiste Estève de Latour
Jean-Baptiste Latour	Jean-Baptiste Estève de Latour
Latour	Jean-Baptiste Estève de Latour
L. Plamondon	Luc Plamondon
Luc Plamondon	Luc Plamondon
Plamondon	Luc Plamondon
J. Dean	James Dean
James Dean	James Dean
Dean	James Dean
G. Mendel	Gregor Mendel
Gregor Mendel	Gregor Mendel
Mendel	Gregor Mendel
Salluste	Salluste
D. Daeninckx	Didier Daeninckx
Didier Daeninckx	Didier Daeninckx
Daeninckx	Didier Daeninckx
H. Fizeau	Hippolyte Fizeau
Hippolyte Fizeau	Hippolyte Fizeau
Fizeau	Hippolyte Fizeau
A. Fallières	Armand Fallières
Armand Fallières	Armand Fallières
Fallières	Armand Fallières
D. Barrymore	Drew Barrymore
Drew Barrymore	Drew Barrymore
Barrymore	Drew Barrymore
F. Bazaine	François Achille Bazaine
François Bazaine	François Achille Bazaine
Bazaine	François Achille Bazaine
J. Deiss	Joseph Deiss
Joseph Deiss	Joseph Deiss
Deiss	Joseph Deiss
P. Deschanel	Paul Deschanel
Paul Deschanel	Paul Deschanel
Deschanel	Paul Deschanel
J. Siffert	Joseph Siffert
Joseph Siffert	Joseph Siffert
Siffert	Joseph Siffert
A. Millerand	Alexandre Millerand
Alexandre Millerand	Alexandre Millerand
Millerand	Alexandre Millerand
Y. Tiersen	Yann Tiersen
Yann Tiersen	Yann Tiersen
Tiersen	Yann Tiersen
A. Adams	Ansel Adams
Ansel Adams	Ansel Adams
Adams	Ansel Adams
R. Brautigan	Richard Brautigan
Richard Brautigan	Richard Brautigan
Brautigan	Richard Brautigan
R. Fripp	Robert Fripp
Robert Fripp	Robert Fripp
Fripp	Robert Fripp
C. Chirac	Claude Chirac
Claude Chirac	Claude Chirac
Chirac	Claude Chirac
J. Cusack	John Cusack
John Cusack	John Cusack
Cusack	John Cusack
H. Onnes	Heike Kamerlingh Onnes
Heike Onnes	Heike Kamerlingh Onnes
Onnes	Heike Kamerlingh Onnes
G. Puccini	Giacomo Puccini
Giacomo Puccini	Giacomo Puccini
Puccini	Giacomo Puccini
C. Parent	Claude Parent
Claude Parent	Claude Parent
Parent	Claude Parent
J. Charyn	Jerome Charyn
Jerome Charyn	Jerome Charyn
Charyn	Jerome Charyn
P. Lucía	Paco de Lucía
Paco Lucía	Paco de Lucía
Lucía	Paco de Lucía
J. Roberts	Julia Roberts
Julia Roberts	Julia Roberts
Roberts	Julia Roberts
G. Vidal	Gore Vidal
Gore Vidal	Gore Vidal
Vidal	Gore Vidal
S. Magnifique	Soliman le Magnifique
Soliman Magnifique	Soliman le Magnifique
Magnifique	Soliman le Magnifique
G. Doumergue	Gaston Doumergue
Gaston Doumergue	Gaston Doumergue
Doumergue	Gaston Doumergue
P. Doumer	Paul Doumer
Paul Doumer	Paul Doumer
Doumer	Paul Doumer
P. Denfert-Rochereau	Pierre Philippe Denfert-Rochereau
Pierre Denfert-Rochereau	Pierre Philippe Denfert-Rochereau
Denfert-Rochereau	Pierre Philippe Denfert-Rochereau
J. Becker	Jacques Becker
Jacques Becker	Jacques Becker
Becker	Jacques Becker
L. Bloomfield	Leonard Bloomfield
Leonard Bloomfield	Leonard Bloomfield
Bloomfield	Leonard Bloomfield
L. Bourbon	Louis de Bourbon
Louis Bourbon	Louis de Bourbon
Bourbon	Louis de Bourbon
H. Vieuxtemps	Henri Vieuxtemps
Henri Vieuxtemps	Henri Vieuxtemps
Vieuxtemps	Henri Vieuxtemps
B. Trajkovski	Boris Trajkovski
Boris Trajkovski	Boris Trajkovski
Trajkovski	Boris Trajkovski
Horace	Horace
H. Michaux	Henri Michaux
Henri Michaux	Henri Michaux
Michaux	Henri Michaux
J. Lagrange	Joseph-Louis Lagrange
Joseph-Louis Lagrange	Joseph-Louis Lagrange
Lagrange	Joseph-Louis Lagrange
A. Fresnel	Augustin Fresnel
Augustin Fresnel	Augustin Fresnel
Fresnel	Augustin Fresnel
C. Marlowe	Christopher Marlowe
Christopher Marlowe	Christopher Marlowe
Marlowe	Christopher Marlowe
G. Lewis	Gilbert Lewis
Gilbert Lewis	Gilbert Lewis
Lewis	Gilbert Lewis
M. Solaar	MC Solaar
MC Solaar	MC Solaar
Solaar	MC Solaar
L. Lamport	Leslie Lamport
Leslie Lamport	Leslie Lamport
Lamport	Leslie Lamport
H. Thiéfaine	Hubert-Félix Thiéfaine
Hubert-Félix Thiéfaine	Hubert-Félix Thiéfaine
Thiéfaine	Hubert-Félix Thiéfaine
L. Michel	Louise Michel
Louise Michel	Louise Michel
Michel	Louise Michel
Y. Güney	Yılmaz Güney
Yılmaz Güney	Yılmaz Güney
Güney	Yılmaz Güney
N. Ceylan	Nuri Bilge Ceylan
Nuri Ceylan	Nuri Bilge Ceylan
Ceylan	Nuri Bilge Ceylan
A. Bourbon	Alphonse de Bourbon
Alphonse Bourbon	Alphonse de Bourbon
Bourbon	Alphonse de Bourbon
J. Marbot	Jean-Baptiste Antoine Marcellin de Marbot
Jean-Baptiste Marbot	Jean-Baptiste Antoine Marcellin de Marbot
Marbot	Jean-Baptiste Antoine Marcellin de Marbot
Gorgias	Gorgias
C. Santana	Carlos Santana
Carlos Santana	Carlos Santana
Santana	Carlos Santana
J. Jarre	Jean Michel Jarre
Jean Jarre	Jean Michel Jarre
Jarre	Jean Michel Jarre
JoMo	JoMo
J. Portillo	José López Portillo
José Portillo	José López Portillo
Portillo	José López Portillo
P. Bayle	Pierre Bayle
Pierre Bayle	Pierre Bayle
Bayle	Pierre Bayle
Y. Kawajiri	Yoshiaki Kawajiri
Yoshiaki Kawajiri	Yoshiaki Kawajiri
Kawajiri	Yoshiaki Kawajiri
Y. Trémarec	Yves Joseph de Kerguelen de Trémarec
Yves Trémarec	Yves Joseph de Kerguelen de Trémarec
Trémarec	Yves Joseph de Kerguelen de Trémarec
R. Lichtenstein	Roy Lichtenstein
Roy Lichtenstein	Roy Lichtenstein
Lichtenstein	Roy Lichtenstein
I. Séville	Isidore de Séville
Isidore Séville	Isidore de Séville
Séville	Isidore de Séville
F. Joliot-Curie	Frédéric Joliot-Curie
Frédéric Joliot-Curie	Frédéric Joliot-Curie
Joliot-Curie	Frédéric Joliot-Curie
I. Joliot-Curie	Irène Joliot-Curie
Irène Joliot-Curie	Irène Joliot-Curie
Joliot-Curie	Irène Joliot-Curie
H. Wallon	Henri Wallon
Henri Wallon	Henri Wallon
Wallon	Henri Wallon
C. Miossec	Christophe Miossec
Christophe Miossec	Christophe Miossec
Miossec	Christophe Miossec
F. Geminiani	Francesco Geminiani
Francesco Geminiani	Francesco Geminiani
Geminiani	Francesco Geminiani
H. Melville	Herman Melville
Herman Melville	Herman Melville
Melville	Herman Melville
C. Sicile	Charles Ier de Sicile
Charles Sicile	Charles Ier de Sicile
Sicile	Charles Ier de Sicile
C. Berge	Claude Berge
Claude Berge	Claude Berge
Berge	Claude Berge
C. Gans	Christophe Gans
Christophe Gans	Christophe Gans
Gans	Christophe Gans
Plantu	Plantu
L. Leprince-Ringuet	Louis Leprince-Ringuet
Louis Leprince-Ringuet	Louis Leprince-Ringuet
Leprince-Ringuet	Louis Leprince-Ringuet
M. Sicile	Manfred Ier de Sicile
Manfred Sicile	Manfred Ier de Sicile
Sicile	Manfred Ier de Sicile
R. Lulle	Raymond Lulle
Raymond Lulle	Raymond Lulle
Lulle	Raymond Lulle
A. Christie	Agatha Christie
Agatha Christie	Agatha Christie
Christie	Agatha Christie
G. Blücher	Gebhard Leberecht von Blücher
Gebhard Blücher	Gebhard Leberecht von Blücher
Blücher	Gebhard Leberecht von Blücher
M. Satrapi	Marjane Satrapi
Marjane Satrapi	Marjane Satrapi
Satrapi	Marjane Satrapi
D. Livingstone	David Livingstone
David Livingstone	David Livingstone
Livingstone	David Livingstone
P. d'Holbach	Paul Henri Thiry d'Holbach
Paul d'Holbach	Paul Henri Thiry d'Holbach
d'Holbach	Paul Henri Thiry d'Holbach
N. Cues	Nicolas de Cues
Nicolas Cues	Nicolas de Cues
Cues	Nicolas de Cues
K. Holmes	Katie Holmes
Katie Holmes	Katie Holmes
Holmes	Katie Holmes
A. Casimir-Perier	Auguste Casimir-Perier
Auguste Casimir-Perier	Auguste Casimir-Perier
Casimir-Perier	Auguste Casimir-Perier
Y. Lacoste	Yves Lacoste
Yves Lacoste	Yves Lacoste
Lacoste	Yves Lacoste
N. Watts	Naomi Watts
Naomi Watts	Naomi Watts
Watts	Naomi Watts
K. Hudson	Kate Hudson
Kate Hudson	Kate Hudson
Hudson	Kate Hudson
Raimu	Raimu
G. Defferre	Gaston Defferre
Gaston Defferre	Gaston Defferre
Defferre	Gaston Defferre
Galère	Galère
Victor-Emmanuel III	Victor-Emmanuel III
L. Montaner	Lluís Domènech i Montaner
Lluís Montaner	Lluís Domènech i Montaner
Montaner	Lluís Domènech i Montaner
C. Chlore	Constance Chlore
Constance Chlore	Constance Chlore
Chlore	Constance Chlore
M. Buren	Martin Van Buren
Martin Buren	Martin Van Buren
Buren	Martin Van Buren
C. Toscane	Cosme Ier de Toscane
Cosme Toscane	Cosme Ier de Toscane
Toscane	Cosme Ier de Toscane
L. France	Louis de France
Louis France	Louis de France
France	Louis de France
R. Sheckley	Robert Sheckley
Robert Sheckley	Robert Sheckley
Sheckley	Robert Sheckley
Lyndon Johnson	Lyndon B. Johnson
H. Giraud	Henri Giraud
Henri Giraud	Henri Giraud
Giraud	Henri Giraud
R. Mistry	Rohinton Mistry
Rohinton Mistry	Rohinton Mistry
Mistry	Rohinton Mistry
C. Martínez-Bordiú	Cristóbal Martínez-Bordiú
Cristóbal Martínez-Bordiú	Cristóbal Martínez-Bordiú
Martínez-Bordiú	Cristóbal Martínez-Bordiú
E. Césarée	Eusèbe de Césarée
Eusèbe Césarée	Eusèbe de Césarée
Césarée	Eusèbe de Césarée
G. Sand	George Sand
George Sand	George Sand
Sand	George Sand
F. Potente	Franka Potente
Franka Potente	Franka Potente
Potente	Franka Potente
C. Bourbaki	Charles-Denis Bourbaki
Charles-Denis Bourbaki	Charles-Denis Bourbaki
Bourbaki	Charles-Denis Bourbaki
J. Pichegru	Jean-Charles Pichegru
Jean-Charles Pichegru	Jean-Charles Pichegru
Pichegru	Jean-Charles Pichegru
R. Clair	René Clair
René Clair	René Clair
Clair	René Clair
C. Sautet	Claude Sautet
Claude Sautet	Claude Sautet
Sautet	Claude Sautet
M. Theodorákis	Míkis Theodorákis
Míkis Theodorákis	Míkis Theodorákis
Theodorákis	Míkis Theodorákis
P. Neruda	Pablo Neruda
Pablo Neruda	Pablo Neruda
Neruda	Pablo Neruda
�. Karp	Éliane Karp
Éliane Karp	Éliane Karp
Karp	Éliane Karp
P. Orlan	Pierre Mac Orlan
Pierre Orlan	Pierre Mac Orlan
Orlan	Pierre Mac Orlan
I. Banks	Iain Banks
Iain Banks	Iain Banks
Banks	Iain Banks
C. Frégeville	Charles Louis Joseph de Gau de Frégeville
Charles Frégeville	Charles Louis Joseph de Gau de Frégeville
Frégeville	Charles Louis Joseph de Gau de Frégeville
J. Barbier	Jean-François Barbier
Jean-François Barbier	Jean-François Barbier
Barbier	Jean-François Barbier
F. Gérard	François Joseph Gérard
François Gérard	François Joseph Gérard
Gérard	François Joseph Gérard
J. Liebig	Justus von Liebig
Justus Liebig	Justus von Liebig
Liebig	Justus von Liebig
G. Vinot	Gilbert Julian Vinot
Gilbert Vinot	Gilbert Julian Vinot
Vinot	Gilbert Julian Vinot
W. Hill	Walter Hill
Walter Hill	Walter Hill
Hill	Walter Hill
R. Barthes	Roland Barthes
Roland Barthes	Roland Barthes
Barthes	Roland Barthes
N. Lobatchevski	Nikolaï Ivanovitch Lobatchevski
Nikolaï Lobatchevski	Nikolaï Ivanovitch Lobatchevski
Lobatchevski	Nikolaï Ivanovitch Lobatchevski
S. Raimi	Sam Raimi
Sam Raimi	Sam Raimi
Raimi	Sam Raimi
J. Miró	Joan Miró
Joan Miró	Joan Miró
Miró	Joan Miró
C. Sainte-Beuve	Charles-Augustin Sainte-Beuve
Charles-Augustin Sainte-Beuve	Charles-Augustin Sainte-Beuve
Sainte-Beuve	Charles-Augustin Sainte-Beuve
J. Gris	Juan Gris
Juan Gris	Juan Gris
Gris	Juan Gris
J. Béthencourt	Jean de Béthencourt
Jean Béthencourt	Jean de Béthencourt
Béthencourt	Jean de Béthencourt
G. Mahler	Gustav Mahler
Gustav Mahler	Gustav Mahler
Mahler	Gustav Mahler
K. Reeves	Keanu Reeves
Keanu Reeves	Keanu Reeves
Reeves	Keanu Reeves
S. Prokofiev	Sergueï Prokofiev
Sergueï Prokofiev	Sergueï Prokofiev
Prokofiev	Sergueï Prokofiev
S. Rachmaninov	Sergueï Rachmaninov
Sergueï Rachmaninov	Sergueï Rachmaninov
Rachmaninov	Sergueï Rachmaninov
P. Tome	Philippe Tome
Philippe Tome	Philippe Tome
Tome	Philippe Tome
J. Kerry	John Kerry
John Kerry	John Kerry
Kerry	John Kerry
C. Zeta-Jones	Catherine Zeta-Jones
Catherine Zeta-Jones	Catherine Zeta-Jones
Zeta-Jones	Catherine Zeta-Jones
R. Schumann	Robert Schumann
Robert Schumann	Robert Schumann
Schumann	Robert Schumann
R. Emmerich	Roland Emmerich
Roland Emmerich	Roland Emmerich
Emmerich	Roland Emmerich
A. Custine	Adam-Philippe de Custine
Adam-Philippe Custine	Adam-Philippe de Custine
Custine	Adam-Philippe de Custine
Clément VII	Clément VII
Bono	Bono
J. Rochon	Jean-Pierre Maurice de Rochon
Jean-Pierre Rochon	Jean-Pierre Maurice de Rochon
Rochon	Jean-Pierre Maurice de Rochon
C. Gency	Claude Ursule Gency
Claude Gency	Claude Ursule Gency
Gency	Claude Ursule Gency
J. Boisconteau	Jean-Joseph Lamy de Boisconteau
Jean-Joseph Boisconteau	Jean-Joseph Lamy de Boisconteau
Boisconteau	Jean-Joseph Lamy de Boisconteau
F. Lorca	Federico García Lorca
Federico Lorca	Federico García Lorca
Lorca	Federico García Lorca
J. Guillén	Jorge Guillén
Jorge Guillén	Jorge Guillén
Guillén	Jorge Guillén
G. Diego	Gerardo Diego
Gerardo Diego	Gerardo Diego
Diego	Gerardo Diego
D. Alonso	Dámaso Alonso
Dámaso Alonso	Dámaso Alonso
Alonso	Dámaso Alonso
P. Botta	Pierre-Paul Botta
Pierre-Paul Botta	Pierre-Paul Botta
Botta	Pierre-Paul Botta
N. Conroux	Nicolas François Conroux
Nicolas Conroux	Nicolas François Conroux
Conroux	Nicolas François Conroux
P. Lanusse	Pierre Lanusse
Pierre Lanusse	Pierre Lanusse
Lanusse	Pierre Lanusse
L. Vasserot	Louis Vasserot
Louis Vasserot	Louis Vasserot
Vasserot	Louis Vasserot
A. Rand	Ayn Rand
Ayn Rand	Ayn Rand
Rand	Ayn Rand
E. Lanti	Eugène Lanti
Eugène Lanti	Eugène Lanti
Lanti	Eugène Lanti
R. Mouton-Duvernet	Régis Barthélemy Mouton-Duvernet
Régis Mouton-Duvernet	Régis Barthélemy Mouton-Duvernet
Mouton-Duvernet	Régis Barthélemy Mouton-Duvernet
H. Charlot	Hugues Charlot
Hugues Charlot	Hugues Charlot
Charlot	Hugues Charlot
A. Montmorand	Antoine François Brenier de Montmorand
Antoine Montmorand	Antoine François Brenier de Montmorand
Montmorand	Antoine François Brenier de Montmorand
B. Meunier	Benoît Meunier
Benoît Meunier	Benoît Meunier
Meunier	Benoît Meunier
D. Laërce	Diogène Laërce
Diogène Laërce	Diogène Laërce
Laërce	Diogène Laërce
C. Nougaro	Claude Nougaro
Claude Nougaro	Claude Nougaro
Nougaro	Claude Nougaro
F. Dupanloup	Félix Dupanloup
Félix Dupanloup	Félix Dupanloup
Dupanloup	Félix Dupanloup
C. Barks	Carl Barks
Carl Barks	Carl Barks
Barks	Carl Barks
S. Coppola	Sofia Coppola
Sofia Coppola	Sofia Coppola
Coppola	Sofia Coppola
K. Tange	Kenzō Tange
Kenzō Tange	Kenzō Tange
Tange	Kenzō Tange
A. Culioli	Antoine Culioli
Antoine Culioli	Antoine Culioli
Culioli	Antoine Culioli
L. Sahuc	Louis Michel Antoine Sahuc
Louis Sahuc	Louis Michel Antoine Sahuc
Sahuc	Louis Michel Antoine Sahuc
L. Montbrun	Louis Pierre de Montbrun
Louis Montbrun	Louis Pierre de Montbrun
Montbrun	Louis Pierre de Montbrun
R. Exelmans	Rémy Joseph Isidore Exelmans
Rémy Exelmans	Rémy Joseph Isidore Exelmans
Exelmans	Rémy Joseph Isidore Exelmans
P. Huber	Pierre Antoine François Huber
Pierre Huber	Pierre Antoine François Huber
Huber	Pierre Antoine François Huber
�. Delmont	Édouard Delmont
Édouard Delmont	Édouard Delmont
Delmont	Édouard Delmont
H. Biber	Heinrich Biber
Heinrich Biber	Heinrich Biber
Biber	Heinrich Biber
A. Juin	Alphonse Juin
Alphonse Juin	Alphonse Juin
Juin	Alphonse Juin
A. Girodet	Anne-Louis Girodet
Anne-Louis Girodet	Anne-Louis Girodet
Girodet	Anne-Louis Girodet
A. Anna	Antonio López de Santa Anna
Antonio Anna	Antonio López de Santa Anna
Anna	Antonio López de Santa Anna
K. Bigelow	Kathryn Bigelow
Kathryn Bigelow	Kathryn Bigelow
Bigelow	Kathryn Bigelow
J. Cameron	James Cameron
James Cameron	James Cameron
Cameron	James Cameron
A. Iturbide	Agustín de Iturbide
Agustín Iturbide	Agustín de Iturbide
Iturbide	Agustín de Iturbide
V. Guerrero	Vicente Guerrero
Vicente Guerrero	Vicente Guerrero
Guerrero	Vicente Guerrero
P. Alvarado	Pedro de Alvarado
Pedro Alvarado	Pedro de Alvarado
Alvarado	Pedro de Alvarado
M. Twain	Mark Twain
Mark Twain	Mark Twain
Twain	Mark Twain
C. Concini	Concino Concini
Concino Concini	Concino Concini
Concini	Concino Concini
F. Beaufort	Francis Beaufort
Francis Beaufort	Francis Beaufort
Beaufort	Francis Beaufort
S. Asch	Solomon Asch
Solomon Asch	Solomon Asch
Asch	Solomon Asch
Bélisaire	Bélisaire
P. Jackson	Peter Jackson
Peter Jackson	Peter Jackson
Jackson	Peter Jackson
N. Marshall	Neil Marshall
Neil Marshall	Neil Marshall
Marshall	Neil Marshall
D. Boyle	Danny Boyle
Danny Boyle	Danny Boyle
Boyle	Danny Boyle
J. Dudek	Jerzy Dudek
Jerzy Dudek	Jerzy Dudek
Dudek	Jerzy Dudek
B. Chirac	Bernadette Chirac
Bernadette Chirac	Bernadette Chirac
Chirac	Bernadette Chirac
A. Perry	Anne Perry
Anne Perry	Anne Perry
Perry	Anne Perry
P. Clay	Philippe Clay
Philippe Clay	Philippe Clay
Clay	Philippe Clay
H. Nyquist	Harry Nyquist
Harry Nyquist	Harry Nyquist
Nyquist	Harry Nyquist
M. Bonaparte	Marie Bonaparte
Marie Bonaparte	Marie Bonaparte
Bonaparte	Marie Bonaparte
S. Veil	Simone Veil
Simone Veil	Simone Veil
Veil	Simone Veil
W. Bonsels	Waldemar Bonsels
Waldemar Bonsels	Waldemar Bonsels
Bonsels	Waldemar Bonsels
P. Wentworth	Patricia Wentworth
Patricia Wentworth	Patricia Wentworth
Wentworth	Patricia Wentworth
P. Villeneuve	Pierre Charles Silvestre de Villeneuve
Pierre Villeneuve	Pierre Charles Silvestre de Villeneuve
Villeneuve	Pierre Charles Silvestre de Villeneuve
L. Billé	Louis-Marie Billé
Louis-Marie Billé	Louis-Marie Billé
Billé	Louis-Marie Billé
J. Balland	Jean Balland
Jean Balland	Jean Balland
Balland	Jean Balland
A. Decourtray	Albert Decourtray
Albert Decourtray	Albert Decourtray
Decourtray	Albert Decourtray
J. Willaumez	Jean-Baptiste Philibert Willaumez
Jean-Baptiste Willaumez	Jean-Baptiste Philibert Willaumez
Willaumez	Jean-Baptiste Philibert Willaumez
A. Renard	Alexandre Renard
Alexandre Renard	Alexandre Renard
Renard	Alexandre Renard
L. Joyeuse	Louis Thomas Villaret de Joyeuse
Louis Joyeuse	Louis Thomas Villaret de Joyeuse
Joyeuse	Louis Thomas Villaret de Joyeuse
Z. Allemand	Zacharie Allemand
Zacharie Allemand	Zacharie Allemand
Allemand	Zacharie Allemand
J. Bonaparte	Jérôme Bonaparte
Jérôme Bonaparte	Jérôme Bonaparte
Bonaparte	Jérôme Bonaparte
P. Maisonneuve	Pierre François Étienne Bouvet de Maisonneuve
Pierre Maisonneuve	Pierre François Étienne Bouvet de Maisonneuve
Maisonneuve	Pierre François Étienne Bouvet de Maisonneuve
C. Dexter	Colin Dexter
Colin Dexter	Colin Dexter
Dexter	Colin Dexter
F. d'Aigalliers	François Paul de Brueys d'Aigalliers
François d'Aigalliers	François Paul de Brueys d'Aigalliers
d'Aigalliers	François Paul de Brueys d'Aigalliers
J. McTiernan	John McTiernan
John McTiernan	John McTiernan
McTiernan	John McTiernan
H. Kemelman	Harry Kemelman
Harry Kemelman	Harry Kemelman
Kemelman	Harry Kemelman
V. Diesel	Vin Diesel
Vin Diesel	Vin Diesel
Diesel	Vin Diesel
P. Victor	Paul-Émile Victor
Paul-Émile Victor	Paul-Émile Victor
Victor	Paul-Émile Victor
J. Watson	James Dewey Watson
James Watson	James Dewey Watson
Watson	James Dewey Watson
Christophe	Christophe
P. Reynaud	Paul Reynaud
Paul Reynaud	Paul Reynaud
Reynaud	Paul Reynaud
A. Tarkovski	Andreï Tarkovski
Andreï Tarkovski	Andreï Tarkovski
Tarkovski	Andreï Tarkovski
Jacques et Ier	Jacques VI et Ier
J. Lecanuet	Jean Lecanuet
Jean Lecanuet	Jean Lecanuet
Lecanuet	Jean Lecanuet
P. Brossolette	Pierre Brossolette
Pierre Brossolette	Pierre Brossolette
Brossolette	Pierre Brossolette
G. Brossolette	Gilberte Brossolette
Gilberte Brossolette	Gilberte Brossolette
Brossolette	Gilberte Brossolette
�. Bruix	Étienne Eustache Bruix
Étienne Bruix	Étienne Eustache Bruix
Bruix	Étienne Eustache Bruix
J. Cosmao-Kerjulien	Julien Marie Cosmao-Kerjulien
Julien Cosmao-Kerjulien	Julien Marie Cosmao-Kerjulien
Cosmao-Kerjulien	Julien Marie Cosmao-Kerjulien
D. Decrès	Denis Decrès
Denis Decrès	Denis Decrès
Decrès	Denis Decrès
B. Dubourdieu	Bernard Dubourdieu
Bernard Dubourdieu	Bernard Dubourdieu
Dubourdieu	Bernard Dubourdieu
L. Latouche-Tréville	Louis-René-Madeleine de Latouche-Tréville
Louis-René-Madeleine Latouche-Tréville	Louis-René-Madeleine de Latouche-Tréville
Latouche-Tréville	Louis-René-Madeleine de Latouche-Tréville
C. Grand	Cyrus le Grand
Cyrus Grand	Cyrus le Grand
Grand	Cyrus le Grand
C. Roe	Caroline Roe
Caroline Roe	Caroline Roe
Roe	Caroline Roe
J. Giraud	Jean Giraud
Jean Giraud	Jean Giraud
Giraud	Jean Giraud
P. Locatelli	Pietro Locatelli
Pietro Locatelli	Pietro Locatelli
Locatelli	Pietro Locatelli
A. Bazin	André Bazin
André Bazin	André Bazin
Bazin	André Bazin
J. Michel	Jean-Claude Michel
Jean-Claude Michel	Jean-Claude Michel
Michel	Jean-Claude Michel
M. Caro	Marc Caro
Marc Caro	Marc Caro
Caro	Marc Caro
E. Fruitier	Edgar Fruitier
Edgar Fruitier	Edgar Fruitier
Fruitier	Edgar Fruitier
Calixte II	Calixte II
H. Purcell	Henry Purcell
Henry Purcell	Henry Purcell
Purcell	Henry Purcell
N. Oudinot	Nicolas Oudinot
Nicolas Oudinot	Nicolas Oudinot
Oudinot	Nicolas Oudinot
Darius Ier	Darius Ier
Xerxès Ier	Xerxès Ier
T. Zwigoff	Terry Zwigoff
Terry Zwigoff	Terry Zwigoff
Zwigoff	Terry Zwigoff
L. Davout	Louis Nicolas Davout
Louis Davout	Louis Nicolas Davout
Davout	Louis Nicolas Davout
C. Leissègues	Corentin de Leissègues
Corentin Leissègues	Corentin de Leissègues
Leissègues	Corentin de Leissègues
H. Ganteaume	Honoré Joseph Antoine Ganteaume
Honoré Ganteaume	Honoré Joseph Antoine Ganteaume
Ganteaume	Honoré Joseph Antoine Ganteaume
C. Médine	Charles René Magon de Médine
Charles Médine	Charles René Magon de Médine
Médine	Charles René Magon de Médine
�. Missiessy	Édouard Thomas Burgues de Missiessy
Édouard Missiessy	Édouard Thomas Burgues de Missiessy
Missiessy	Édouard Thomas Burgues de Missiessy
F. Rosily-Mesros	François Étienne de Rosily-Mesros
François Rosily-Mesros	François Étienne de Rosily-Mesros
Rosily-Mesros	François Étienne de Rosily-Mesros
A. Troude	Aimable-Gilles Troude
Aimable-Gilles Troude	Aimable-Gilles Troude
Troude	Aimable-Gilles Troude
D. Brin	David Brin
David Brin	David Brin
Brin	David Brin
J. Juncker	Jean-Claude Juncker
Jean-Claude Juncker	Jean-Claude Juncker
Juncker	Jean-Claude Juncker
�. Lenoir	Étienne Lenoir
Étienne Lenoir	Étienne Lenoir
Lenoir	Étienne Lenoir
F. Nightingale	Florence Nightingale
Florence Nightingale	Florence Nightingale
Nightingale	Florence Nightingale
Cambyse II	Cambyse II
A. Avogadro	Amedeo Avogadro
Amedeo Avogadro	Amedeo Avogadro
Avogadro	Amedeo Avogadro
J. Doniol-Valcroze	Jacques Doniol-Valcroze
Jacques Doniol-Valcroze	Jacques Doniol-Valcroze
Doniol-Valcroze	Jacques Doniol-Valcroze
Bardiya	Bardiya
B. Campbell	Bruce Campbell
Bruce Campbell	Bruce Campbell
Campbell	Bruce Campbell
C. Brunswick-Wolfenbüttel	Charles-Guillaume-Ferdinand de Brunswick-Wolfenbüttel
Charles-Guillaume-Ferdinand Brunswick-Wolfenbüttel	Charles-Guillaume-Ferdinand de Brunswick-Wolfenbüttel
Brunswick-Wolfenbüttel	Charles-Guillaume-Ferdinand de Brunswick-Wolfenbüttel
L. Séjourné	Laurette Séjourné
Laurette Séjourné	Laurette Séjourné
Séjourné	Laurette Séjourné
J. Huston	John Huston
John Huston	John Huston
Huston	John Huston
Henri	Henri
J. Guieu	Jimmy Guieu
Jimmy Guieu	Jimmy Guieu
Guieu	Jimmy Guieu
M. Ernst	Max Ernst
Max Ernst	Max Ernst
Ernst	Max Ernst
G. Bizet	Georges Bizet
Georges Bizet	Georges Bizet
Bizet	Georges Bizet
A. Brongniart	Alexandre-Théodore Brongniart
Alexandre-Théodore Brongniart	Alexandre-Théodore Brongniart
Brongniart	Alexandre-Théodore Brongniart
R. Mouchotte	René Mouchotte
René Mouchotte	René Mouchotte
Mouchotte	René Mouchotte
N. Guedj	Nicole Guedj
Nicole Guedj	Nicole Guedj
Guedj	Nicole Guedj
B. Hortefeux	Brice Hortefeux
Brice Hortefeux	Brice Hortefeux
Hortefeux	Brice Hortefeux
M. Deville	Michel Deville
Michel Deville	Michel Deville
Deville	Michel Deville
W. Ryder	Winona Ryder
Winona Ryder	Winona Ryder
Ryder	Winona Ryder
A. Rafesthain	Alain Rafesthain
Alain Rafesthain	Alain Rafesthain
Rafesthain	Alain Rafesthain
M. Linder	Max Linder
Max Linder	Max Linder
Linder	Max Linder
J. Binoche	Juliette Binoche
Juliette Binoche	Juliette Binoche
Binoche	Juliette Binoche
C. Haigneré	Claudie Haigneré
Claudie Haigneré	Claudie Haigneré
Haigneré	Claudie Haigneré
