name	linking_url
Francis Poulenc	https://fr.wikipedia.org/wiki/Francis_Poulenc
Guido van Rossum	https://fr.wikipedia.org/wiki/Guido_van
Georges Bataille	https://fr.wikipedia.org/wiki/Georges_Bataille
Grenoble	https://fr.wikipedia.org/wiki/Grenoble
Graham Greene	https://fr.wikipedia.org/wiki/Graham_Greene
Georges Auric	https://fr.wikipedia.org/wiki/Georges_Auric
Guillaume Apollinaire	https://fr.wikipedia.org/wiki/Guillaume_Apollinaire
Gao Xingjian	https://fr.wikipedia.org/wiki/Gao_Xingjian
George Orwell	https://fr.wikipedia.org/wiki/George_Orwell
Gérard Manset	https://fr.wikipedia.org/wiki/Gérard_Manset
Georges Brassens	https://fr.wikipedia.org/wiki/Georges_Brassens
Günter Grass	https://fr.wikipedia.org/wiki/Günter_Grass
Hiroshi Yamauchi	https://fr.wikipedia.org/wiki/Hiroshi_Yamauchi
Howard Carter	https://fr.wikipedia.org/wiki/Howard_Carter
Henry James	https://fr.wikipedia.org/wiki/Henry_James
Henry Ford	https://fr.wikipedia.org/wiki/Henry_Ford
Hermann Hesse	https://fr.wikipedia.org/wiki/Hermann_Hesse
Hugues Capet	https://fr.wikipedia.org/wiki/Hugues_Capet
Henri Barbusse	https://fr.wikipedia.org/wiki/Henri_Barbusse
Hervé Bazin	https://fr.wikipedia.org/wiki/Hervé_Bazin
Intel	https://fr.wikipedia.org/wiki/Intel
Isis	https://fr.wikipedia.org/wiki/Isis
Isaac Asimov	https://fr.wikipedia.org/wiki/Isaac_Asimov
Imre Kertész	https://fr.wikipedia.org/wiki/Imre_Kertész
John McCarthy	https://fr.wikipedia.org/wiki/John_McCarthy
Jules Verne	https://fr.wikipedia.org/wiki/Jules_Verne
Jean-Jacques Rousseau	https://fr.wikipedia.org/wiki/Jean-Jacques_Rousseau
Jean-Pierre Chevènement	https://fr.wikipedia.org/wiki/Jean-Pierre_Chevènement
Jean Saint-Josse	https://fr.wikipedia.org/wiki/Jean_Saint-Josse
John Fowles	https://fr.wikipedia.org/wiki/John_Fowles
Jean-Charles de Borda	https://fr.wikipedia.org/wiki/Jean-Charles_de
Joseph Conrad	https://fr.wikipedia.org/wiki/Joseph_Conrad
Jack Nicholson	https://fr.wikipedia.org/wiki/Jack_Nicholson
Jacques Derrida	https://fr.wikipedia.org/wiki/Jacques_Derrida
James Henry Breasted	https://fr.wikipedia.org/wiki/James_Henry
Jules César	https://fr.wikipedia.org/wiki/Jules_César
John Woo	https://fr.wikipedia.org/wiki/John_Woo
Joseph E. Stiglitz	https://fr.wikipedia.org/wiki/Joseph_E.
Jacques Audiberti	https://fr.wikipedia.org/wiki/Jacques_Audiberti
Jacques-Yves Cousteau	https://fr.wikipedia.org/wiki/Jacques-Yves_Cousteau
Jello Biafra	https://fr.wikipedia.org/wiki/Jello_Biafra
Jean-François Champollion	https://fr.wikipedia.org/wiki/Jean-François_Champollion
Jacques-Joseph Champollion	https://fr.wikipedia.org/wiki/Jacques-Joseph_Champollion
Jacques Tardi	https://fr.wikipedia.org/wiki/Jacques_Tardi
Kurt Lewin	https://fr.wikipedia.org/wiki/Kurt_Lewin
Linus Torvalds	https://fr.wikipedia.org/wiki/Linus_Torvalds
Lionel Jospin	https://fr.wikipedia.org/wiki/Lionel_Jospin
Ludwig Wittgenstein	https://fr.wikipedia.org/wiki/Ludwig_Wittgenstein
Ludwik Lejzer Zamenhof	https://fr.wikipedia.org/wiki/Ludwik_Lejzer
Louis Malle	https://fr.wikipedia.org/wiki/Louis_Malle
Lee Scratch Perry	https://fr.wikipedia.org/wiki/Lee_Scratch
Laurel Aitken	https://fr.wikipedia.org/wiki/Laurel_Aitken
Lewis Henry Morgan	https://fr.wikipedia.org/wiki/Lewis_Henry
Lucien Tesnière	https://fr.wikipedia.org/wiki/Lucien_Tesnière
Laurent Lafforgue	https://fr.wikipedia.org/wiki/Laurent_Lafforgue
Maurice Leblanc	https://fr.wikipedia.org/wiki/Maurice_Leblanc
Mexique	https://fr.wikipedia.org/wiki/Mexique
Ménès (pharaon)	https://fr.wikipedia.org/wiki/Ménès_(pharaon)
Mario Vargas Llosa	https://fr.wikipedia.org/wiki/Mario_Vargas
Martin Scorsese	https://fr.wikipedia.org/wiki/Martin_Scorsese
Michelle Yeoh	https://fr.wikipedia.org/wiki/Michelle_Yeoh
Mary Shelley	https://fr.wikipedia.org/wiki/Mary_Shelley
Martin Heidegger	https://fr.wikipedia.org/wiki/Martin_Heidegger
Miguel de Icaza	https://fr.wikipedia.org/wiki/Miguel_de
Molière	https://fr.wikipedia.org/wiki/Molière
Mika Waltari	https://fr.wikipedia.org/wiki/Mika_Waltari
Meiji (empereur)	https://fr.wikipedia.org/wiki/Meiji_(empereur)
Marcel Aymé	https://fr.wikipedia.org/wiki/Marcel_Aymé
Maurice Papon	https://fr.wikipedia.org/wiki/Maurice_Papon
Maurice Barrès	https://fr.wikipedia.org/wiki/Maurice_Barrès
Marcel Mauss	https://fr.wikipedia.org/wiki/Marcel_Mauss
Margaret Mead	https://fr.wikipedia.org/wiki/Margaret_Mead
Michael Moore	https://fr.wikipedia.org/wiki/Michael_Moore
Noël Mamère	https://fr.wikipedia.org/wiki/Noël_Mamère
Niels Bohr	https://fr.wikipedia.org/wiki/Niels_Bohr
Nicolas Copernic	https://fr.wikipedia.org/wiki/Nicolas_Copernic
Nunavut	https://fr.wikipedia.org/wiki/Nunavut
Narmer	https://fr.wikipedia.org/wiki/Narmer
Octavio Paz	https://fr.wikipedia.org/wiki/Octavio_Paz
Ovide	https://fr.wikipedia.org/wiki/Ovide
Oscar Wilde	https://fr.wikipedia.org/wiki/Oscar_Wilde
Pépin le Bref	https://fr.wikipedia.org/wiki/Pépin_le
Paul Héroult	https://fr.wikipedia.org/wiki/Paul_Héroult
Portugal	https://fr.wikipedia.org/wiki/Portugal
Paul Auster	https://fr.wikipedia.org/wiki/Paul_Auster
Paul Verhoeven	https://fr.wikipedia.org/wiki/Paul_Verhoeven
Pierre Schaeffer	https://fr.wikipedia.org/wiki/Pierre_Schaeffer
Pierre Bordage	https://fr.wikipedia.org/wiki/Pierre_Bordage
Philip José Farmer	https://fr.wikipedia.org/wiki/Philip_José
Pierre Mendès France	https://fr.wikipedia.org/wiki/Pierre_Mendès
Paul Dirac	https://fr.wikipedia.org/wiki/Paul_Dirac
Pierre Boulle	https://fr.wikipedia.org/wiki/Pierre_Boulle
Portishead (groupe)	https://fr.wikipedia.org/wiki/Portishead_(groupe)
Paul Lafargue	https://fr.wikipedia.org/wiki/Paul_Lafargue
Philippe Pétain	https://fr.wikipedia.org/wiki/Philippe_Pétain
Philip K. Dick	https://fr.wikipedia.org/wiki/Philip_K.
Prince Buster	https://fr.wikipedia.org/wiki/Prince_Buster
Robert Hue	https://fr.wikipedia.org/wiki/Robert_Hue
Renaud	https://fr.wikipedia.org/wiki/Renaud
René Dumont	https://fr.wikipedia.org/wiki/René_Dumont
Régis Wargnier	https://fr.wikipedia.org/wiki/Régis_Wargnier
Roland Garros	https://fr.wikipedia.org/wiki/Roland_Garros
Roman Polanski	https://fr.wikipedia.org/wiki/Roman_Polanski
René Barjavel	https://fr.wikipedia.org/wiki/René_Barjavel
Roland C. Wagner	https://fr.wikipedia.org/wiki/Roland_C.
Richard Stallman	https://fr.wikipedia.org/wiki/Richard_Stallman
René Goscinny	https://fr.wikipedia.org/wiki/René_Goscinny
Suisse	https://fr.wikipedia.org/wiki/Suisse
Stéphane Mallarmé	https://fr.wikipedia.org/wiki/Stéphane_Mallarmé
Steve Jobs	https://fr.wikipedia.org/wiki/Steve_Jobs
Sharon Stone	https://fr.wikipedia.org/wiki/Sharon_Stone
Seine	https://fr.wikipedia.org/wiki/Seine
Stanley Kubrick	https://fr.wikipedia.org/wiki/Stanley_Kubrick
Sigmund Freud	https://fr.wikipedia.org/wiki/Sigmund_Freud
Satoru Iwata	https://fr.wikipedia.org/wiki/Satoru_Iwata
Sejong le Grand	https://fr.wikipedia.org/wiki/Sejong_le
Strasbourg	https://fr.wikipedia.org/wiki/Strasbourg
Stephen King	https://fr.wikipedia.org/wiki/Stephen_King
Stanislas Lem	https://fr.wikipedia.org/wiki/Stanislas_Lem
Samuel Beckett	https://fr.wikipedia.org/wiki/Samuel_Beckett
Takeshi Kitano	https://fr.wikipedia.org/wiki/Takeshi_Kitano
Tim Burton	https://fr.wikipedia.org/wiki/Tim_Burton
Toulouse	https://fr.wikipedia.org/wiki/Toulouse
Tricky	https://fr.wikipedia.org/wiki/Tricky
Tsui Hark	https://fr.wikipedia.org/wiki/Tsui_Hark
Tokugawa Ieyasu	https://fr.wikipedia.org/wiki/Tokugawa_Ieyasu
Théodore Agrippa d'Aubigné	https://fr.wikipedia.org/wiki/Théodore_Agrippa
Terry Pratchett	https://fr.wikipedia.org/wiki/Terry_Pratchett
Humbert Ier (roi d'Italie)	https://fr.wikipedia.org/wiki/Humbert_Ier
Eugène Viollet-le-Duc	https://fr.wikipedia.org/wiki/Eugène_Viollet-le-Duc
Victor Hugo	https://fr.wikipedia.org/wiki/Victor_Hugo
Vicente Fox	https://fr.wikipedia.org/wiki/Vicente_Fox
V. S. Naipaul	https://fr.wikipedia.org/wiki/V._S.
Vladimir Poutine	https://fr.wikipedia.org/wiki/Vladimir_Poutine
William Gibson	https://fr.wikipedia.org/wiki/William_Gibson
Wernher von Braun	https://fr.wikipedia.org/wiki/Wernher_von
Yasser Arafat	https://fr.wikipedia.org/wiki/Yasser_Arafat
Umezawa Yukari	https://fr.wikipedia.org/wiki/Umezawa_Yukari
Youri Gagarine	https://fr.wikipedia.org/wiki/Youri_Gagarine
1er mai	https://fr.wikipedia.org/wiki/1er_mai
Hideki Tōjō	https://fr.wikipedia.org/wiki/Hideki_Tōjō
